branch,skill,board,AZ_Select ,AZ_Eligible,Perc_AZ_Selects,BZ_Select ,BZ_Eligible,Perc_BZ_Selects,PZ_Select ,PZ_Eligible,Perc_PZ_Selects
MS,72A,MAJ,0,3,0.0,0,3,0.0,4,6,66.7
MS,72B,MAJ,1,2,50.0,0,5,0.0,7,8,87.5
MS,72C,MAJ,0,0,0.0,0,4,0.0,4,5,80.0
MS,72D,MAJ,1,7,14.3,2,13,15.4,6,11,54.5
MS,73A,MAJ,3,16,18.8,0,6,0.0,6,8,75.0
MS,73B,MAJ,3,6,50.0,1,5,20.0,10,18,55.6
SP,65A,MAJ,0,4,0.0,0,3,0.0,4,5,80.0
SP,65B,MAJ,8,11,72.7,0,17,0.0,10,22,45.5
SP,65C,MAJ,1,3,33.3,0,6,0.0,6,9,66.7
SP,65D,MAJ,11,58,19.0,1,54,1.9,34,73,46.6
VC,64A,MAJ,2,8,25.0,0,30,0.0,17,24,70.8
VC,64B,MAJ,0,0,0.0,0,0,0.0,2,3,66.7
VC,64C,MAJ,1,2,50.0,0,0,0.0,1,2,50.0
VC,64D,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
VC,64E,MAJ,0,0,0.0,0,0,0.0,1,1,100.0
VC,64F,MAJ,0,0,0.0,0,0,0.0,1,1,100.0
MC,60B,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
MC,60C,MAJ,0,0,0.0,0,0,0.0,2,2,100.0
MC,60D,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
MC,60F,MAJ,0,0,0.0,0,0,0.0,5,5,100.0
MC,60G,MAJ,0,1,0.0,0,0,0.0,5,5,100.0
MC,60H,MAJ,0,0,0.0,0,0,0.0,2,2,100.0
MC,60J,MAJ,0,1,0.0,0,0,0.0,11,14,78.6
MC,60K,MAJ,0,0,0.0,0,0,0.0,5,6,83.3
MC,60L,MAJ,0,0,0.0,0,0,0.0,7,7,100.0
MC,60M,MAJ,0,0,0.0,0,0,0.0,3,3,100.0
MC,60N,MAJ,1,2,50.0,0,0,0.0,13,13,100.0
MC,60P,MAJ,2,2,100.0,0,0,0.0,16,17,94.1
MC,60Q,MAJ,0,0,0.0,0,0,0.0,2,2,100.0
MC,60R,MAJ,0,0,0.0,0,0,0.0,1,1,100.0
MC,60S,MAJ,0,0,0.0,0,0,0.0,4,4,100.0
MC,60T,MAJ,0,1,0.0,0,0,0.0,4,4,100.0
MC,60U,MAJ,0,0,0.0,0,0,0.0,2,2,100.0
MC,60V,MAJ,0,0,0.0,0,0,0.0,4,4,100.0
MC,60W,MAJ,1,1,100.0,0,0,0.0,10,10,100.0
MC,61A,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
MC,61B,MAJ,0,0,0.0,0,0,0.0,3,3,100.0
MC,61C,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
MC,61D,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
MC,61E,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
MC,61F,MAJ,3,6,50.0,0,0,0.0,30,30,100.0
MC,61G,MAJ,0,0,0.0,0,0,0.0,2,2,100.0
MC,61H,MAJ,1,2,50.0,0,0,0.0,44,45,97.8
MC,61J,MAJ,1,1,100.0,0,0,0.0,19,20,95.0
MC,61K,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
MC,61L,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
MC,61M,MAJ,0,0,0.0,0,0,0.0,19,19,100.0
MC,61N,MAJ,0,0,0.0,0,0,0.0,9,9,100.0
MC,61P,MAJ,0,0,0.0,0,0,0.0,2,2,100.0
MC,61Q,MAJ,0,0,0.0,0,0,0.0,1,1,100.0
MC,61R,MAJ,0,2,0.0,0,0,0.0,15,16,93.8
MC,61U,MAJ,0,0,0.0,0,0,0.0,4,4,100.0
MC,61W,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
MC,61Z,MAJ,1,1,100.0,0,0,0.0,2,2,100.0
MC,62A,MAJ,2,2,100.0,0,0,0.0,27,28,96.4
MC,62B,MAJ,1,2,50.0,0,0,0.0,16,20,80.0
DC,63A,MAJ,3,4,75.0,0,0,0.0,42,42,100.0
DC,63B,MAJ,1,1,100.0,0,0,0.0,12,12,100.0
DC,63D,MAJ,0,0,0.0,0,0,0.0,1,1,100.0
DC,63E,MAJ,1,1,100.0,0,0,0.0,5,5,100.0
DC,63F,MAJ,0,0,0.0,0,0,0.0,3,3,100.0
DC,63H,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
DC,63K,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
DC,63M,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
DC,63N,MAJ,0,0,0.0,0,0,0.0,7,7,100.0
DC,63P,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
AN,66B,CPT,0,0,0.0,0,0,0.0,0,0,0.0
AN,66C,CPT,3,3,100.0,0,0,0.0,4,4,100.0
AN,66E,CPT,5,6,83.3,0,0,0.0,5,9,55.6
AN,66F,CPT,4,4,100.0,0,0,0.0,3,3,100.0
AN,66G,CPT,3,4,75.0,0,0,0.0,8,12,66.7
AN,66H,CPT,22,72,30.6,0,0,0.0,123,183,67.2
AN,66P,CPT,2,2,100.0,0,0,0.0,1,1,100.0
AN,66R,CPT,1,1,100.0,0,0,0.0,1,1,100.0
AN,66S,CPT,1,4,25.0,0,0,0.0,13,22,59.1
AN,66T,CPT,4,4,100.0,0,0,0.0,5,6,83.3
AN,66W,CPT,0,0,0.0,0,0,0.0,2,3,66.7
MS,67E,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,67F,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,67G,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,67J,CPT,6,10,60.0,0,0,0.0,18,27,66.7
MS,70A,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,70B,CPT,14,30,46.7,0,0,0.0,124,166,74.7
MS,70C,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,70D,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,70E,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,70F,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,70H,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,70K,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,71A,CPT,0,0,0.0,0,0,0.0,1,1,100.0
MS,71B,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,71E,CPT,3,3,100.0,0,0,0.0,4,5,80.0
MS,71F,CPT,0,0,0.0,0,0,0.0,0,0,0.0
MS,72A,CPT,0,1,0.0,0,0,0.0,4,4,100.0
MS,72B,CPT,0,1,0.0,0,0,0.0,0,0,0.0
MS,72C,CPT,0,2,0.0,0,0,0.0,0,1,0.0
MS,72D,CPT,2,3,66.7,0,0,0.0,15,17,88.2
MS,73A,CPT,9,9,100.0,0,0,0.0,19,20,95.0
MS,73B,CPT,0,1,0.0,0,0,0.0,1,1,100.0
SP,65A,CPT,8,8,100.0,0,0,0.0,0,0,0.0
SP,65B,CPT,6,6,100.0,0,0,0.0,17,17,100.0
SP,65C,CPT,0,0,0.0,0,0,0.0,10,10,100.0
SP,65D,CPT,20,20,100.0,0,0,0.0,35,35,100.0
